sample_name,short_name,data_type,merged,replicate,raw_fastq,preprocessed_fastq,bam,granges,bigwig_positive,bigwig_negative
kc167_triptolide_tfiia_chipnexus_2,tri_tfiia,chip_nexus,TRUE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_tfiia_chipnexus_2.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_tfiia_chipnexus_2_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_tfiia_chipnexus_2.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_tfiia_chipnexus_2.granges.rds,/data/bigwig/kc167_triptolide_tfiia_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_tfiia_chipnexus_normalized_and_merged_negative.bw
kc167_triptolide_tfiib_chipnexus_1,tri_tfiib,chip_nexus,TRUE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_tfiib_chipnexus_1.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_tfiib_chipnexus_1_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_tfiib_chipnexus_1.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_tfiib_chipnexus_1.granges.rds,/data/bigwig/kc167_triptolide_tfiib_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_tfiib_chipnexus_normalized_and_merged_negative.bw
kc167_triptolide_tfiib_chipnexus_2,tri_tfiib,chip_nexus,TRUE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_tfiib_chipnexus_2.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_tfiib_chipnexus_2_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_tfiib_chipnexus_2.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_tfiib_chipnexus_2.granges.rds,/data/bigwig/kc167_triptolide_tfiib_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_tfiib_chipnexus_normalized_and_merged_negative.bw
kc167_triptolide_tfiif_chipnexus_1,tri_tfiif,chip_nexus,TRUE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_tfiif_chipnexus_1.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_tfiif_chipnexus_1_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_tfiif_chipnexus_1.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_tfiif_chipnexus_1.granges.rds,/data/bigwig/kc167_triptolide_tfiif_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_tfiif_chipnexus_normalized_and_merged_negative.bw
kc167_triptolide_tfiif_chipnexus_2,tri_tfiif,chip_nexus,TRUE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_tfiif_chipnexus_2.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_tfiif_chipnexus_2_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_tfiif_chipnexus_2.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_tfiif_chipnexus_2.granges.rds,/data/bigwig/kc167_triptolide_tfiif_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_tfiif_chipnexus_normalized_and_merged_negative.bw
kc167_triptolide_xpb_chipnexus_1,tri_xpb,chip_nexus,TRUE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_xpb_chipnexus_1.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_xpb_chipnexus_1_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_xpb_chipnexus_1.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_xpb_chipnexus_1.granges.rds,/data/bigwig/kc167_triptolide_xpb_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_xpb_chipnexus_normalized_and_merged_negative.bw
kc167_triptolide_xpb_chipnexus_2,tri_xpb,chip_nexus,TRUE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_xpb_chipnexus_2.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_triptolide_xpb_chipnexus_2_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_triptolide_xpb_chipnexus_2.bam,/data/rdata/granges/regular_chipnexus/kc167_triptolide_xpb_chipnexus_2.granges.rds,/data/bigwig/kc167_triptolide_xpb_chipnexus_normalized_and_merged_positive.bw,/data/bigwig/kc167_triptolide_xpb_chipnexus_normalized_and_merged_negative.bw
kc167_dmso_control_polii_chipnexus_spikein_1,dmso_control_polii_spikein,chip_nexus,FALSE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_dmso_control_polii_chipnexus_spikein_1.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_dmso_control_polii_chipnexus_spikein_1_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_dmso_control_polii_chipnexus_spikein_1.bam,/data/rdata/granges/spikein_chipnexus/kc167_dmso_control_polii_chipnexus_spikein_1.granges.rds,/data/bigwig/kc167_dmso_control_polii_chipnexus_spikein_normalized_2_positive.bw,/data/bigwig/kc167_dmso_control_polii_chipnexus_spikein_normalized_2_negative.bw
kc167_dmso_control_polii_chipnexus_spikein_2,dmso_control_polii_spikein,chip_nexus,FALSE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_dmso_control_polii_chipnexus_spikein_2.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_dmso_control_polii_chipnexus_spikein_2_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_dmso_control_polii_chipnexus_spikein_2.bam,/data/rdata/granges/spikein_chipnexus/kc167_dmso_control_polii_chipnexus_spikein_2.granges.rds,/data/bigwig/kc167_dmso_control_polii_chipnexus_spikein_normalized_1_positive.bw,/data/bigwig/kc167_dmso_control_polii_chipnexus_spikein_normalized_1_negative.bw
kc167_triptolide_10min_polii_chipnexus_spikein_1,tri_10min_polii_spikein,chip_nexus,FALSE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_10min_polii_chipnexus_spikein_1.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_10min_polii_chipnexus_spikein_1_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_10min_polii_chipnexus_spikein_1.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_10min_polii_chipnexus_spikein_1.granges.rds,/data/bigwig/kc167_triptolide_10min_polii_chipnexus_spikein_normalized_1_positive.bw,/data/bigwig/kc167_triptolide_10min_polii_chipnexus_spikein_normalized_1_negative.bw
